"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см",Примечание,,,,,,
Rollbox,Balda,Фотоаппарат,1934,,Германия,Дрезден,56,,,,361,120х110х70,"Однообъективная, вертикальная",Бокс камера,Алюминий,Форматная,6х9,,"Плёнка типа 120 (61,5-мм рольфильм)",,,,,,,,,,,,
Weltax,Welta,Фотоаппарат,1939,1950,Германия,,57,,,,617,133x75x45,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,"6x6
4,5x6",40,Пленка,Junior,Anastigmat Victar,,"1:4,5","7,5",Может менять размер кадра,,,,,,
Ouvrir Pour Enrouler,Photo-Plai Parist,Фотоаппарат,,,Франция,,58,,,В11100,589,150х70х40,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,60,Пленка,Photo-Plait,Anastigmat Splendor,6573,"1:4,5",10.5,,,,,,,
"Billy Record 7,7",Agfa,Фотоаппарат,1933,1949,Германия,Мюнхен,59,,,3L2396,550,165х88х37,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,"Плёнка типа 120 (61,5-мм рольфильм)",Compur,Agfa Anastigmat Jgestar,,,7.7,Внутри на крышке наклейка с рекламой фотопленок Agfa Isochrom Film and Isopan Film,,,,,,
Isolette II,Agfa,Фотоаппарат,1950,,Германия,Мюнхен,60,,,,570,140х95х35,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х6,50,"Плёнка типа 120 (61,5-мм рольфильм)",Vario,Agfa Agnar,B37727,"1:4,5",8.5,Внутри на крышке наклейка с рекламой фотопленок Photohaus Josef Zacharias Regensburg,,,,,,
Weltax,Welta,Фотоаппарат,1939,1950,Германия,,61,,,,589,135x90x35,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,"6x6
4,5x6",40,Пленка,Junior,Anastigmat Victar,,"1:4,5","7,5",Может менять размер кадра,,,,,,
Junior Six-20 Series II,Kodak Brownie Pliant Six-20 ,Фотоаппарат,1937,1940,США ,,62,,,,531,150x75x35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,65,Пленка,Kodak ,Kodak Anastigmat ,,"1:6,3",10.0,"Внутри на крышке наклейка Use Kodak Film Verichrome V620, SS Pan SS 620, Panatomic F620 Or N.C. 620
Use Kodak Film in the yellow box it gets the Picture printed in USA № 56164",,,,,,
Nettar 515/2,Ziess Ikon,Фотоаппарат,1934,1941,Германия,Дрезден,63,,,V61773,568,160x80x38,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,65,Пленка,Ziess Ikon Nettar ,Nettar Anastigmat,,"1:6,3","10,5","На крышке изнутри выбито название рекомендуемой пленки  Zeiss Ikon Film B2 6x9 2,25x3,25 in
",,,,,,
Ленинград 4 Ю11/4,Завод Вибратор,Экспонометр,,,СССР,,64,,,166665,69,72х53х27,,,Пластик,,,,,,,,,,"ГОСТ 9851-68
",,,,,,
Ленинград 2 Ю11/2,Завод Вибратор,Экспонометр,,,СССР,,65,,,370576,80,52х70х22,,,Пластик,,,,,,,,,,"ГОСТ 9851-61
На задней крышке выбита таблица соответствий",,,,,,
Ikonta 521/2,Ziess Ikon,Фотоаппарат,1938,,Германия,Дрезден,66,,,G63280,767,160x85x50,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,70,Пленка,Compur,Carl Zeiss Jena TESSAR,2113269,"1:4,5","10,5","На крышке изнутри выбито название рекомендуемой пленки  Zeiss Ikon Film B2 6x9 2,25x3,25 in так же имеется наклейка Zeiss Ikon Film
",,,,,,
Exacta,Jhagee,Фотоаппарат,1937,1948,Германия,,67,,,628672,746,150x93x80 ,"Однообъективная, горизонтальная",Жесткий,Алюминий,Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Meyer Gorlitz Trioplan,1072333,"1:2,9",5.0,,,,,,,
Super Ikonta 531,Ziess Ikon,Фотоаппарат,1950,1956,Германия,Дрезден,68,,,667240,588,120x95x50,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,"4x5,5",35,Пленка,Compur Rapid,"Carl Zeiss Jena 
Tessar ",2325124,"1:3,5","7,5","На крышке изнутри выбито название рекомендуемой пленки  Zeiss Ikon Film B2 6x9 2,25x3,25 in так же имеется наклейка Zeiss Ikon Film
",,,,,,
"Karat 6,3 ",Agfa,Фотоаппарат,1939,1940,Германия,Мюнхен,69,,,FS5216,400,120x70x40,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, пластик, сталь",Малоформатная,"2,4x3,6",15,Плёнка типа 135 (35-мм фотоплёнка),Agfa Aunomat,Agfa Karat Anastigmat Igestar,,"1:6,3",5.0,"Шкальный фотоаппарат. Внутри на крышке наклейка c инструкцией к пленке - ""Empty cartridge here…""",,,,,,
Jdeal 250/9,Ziess Ikon,Фотоаппарат,1920,,Германия,Дрезден,70,,,"27676
G43",1645,190х140х65,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"14,5x10",250,Пластина,Compur, Tessar Cari Zeiss Jana  ,"691694
1196234","1:4,5","16,5",,,,,,,
Certro Dollina I,Certro ,Фотоаппарат,1936,1939,Германия,,71,,,6820,570,120х80х45,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",12,Плёнка типа 135 (35-мм фотоплёнка),Compur,"D.R.P. Schneider-Kreuznach Xenon, F.Deckel-Monchen","1051117
3332385",1:2,4.5,Внутри находится пленка Foma Barevny Inverzni Colour Reversal D20 Fomachrom-II Pro Denni Svetlo Film For Daylight 135-36.На задней крышке модели есть таблица соответствия диафрагмы и расстояния,,,,,,
Weltini II (поздняя версия),Welta,Фотоаппарат,1939,1941,Германия,,72,,,,664,120x90x45,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Малоформатная,"2,4x3,6",12,Плёнка типа 135 (35-мм фотоплёнка),Compur-Rapid,Schneider-Kreuznach Xenon,"1775802
609447",1:2,5,На верхней части фотоаппарата выбита таблица соответствий ,,,,,,
Jhagee (plate),Jhagee,Фотоаппарат,1920,1930,Германия,Дрезден,73,,,589491,697,130x95x45,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,100,Пластина,Compur,Schneider-Kreuznach Radionar,"776428
A120031","1:4,5",10.5,,,,,,,
"Karat 6,3 Art Deco ",Agfa,Фотоаппарат,1937,1938,Германия,Мюнхен,74,,,R.3773,400,120x70x40,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, пластик, сталь",Малоформатная,"2,4x3,6",15,Плёнка типа 135 (35-мм фотоплёнка),Agfa Aunomat,Agfa Karat Anastigmat Igestar,,"1:6,3",5.0,На передней панели украшения в стиле Арт-деко.,,,,,,
Lumiere,Galter,Фотоаппарат,1920,,,,75,,,,664,180x115x45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, дерево",Форматная,9х12,115,Пластина,Gallus,Lumiere Anastigmat Fidor,,"1:6,3",,По всей видимости объектив заменен на европейский,,,,,,
Rolleiflex I original№98949    ,Rollei,Фотоаппарат,1929,1932,Германия,,76,,,28597,692,190х75х90,"Двухобъективная, вертикальная",Жесткий,Алюминий,Форматная,"6х5,5",,Пленка,,"Heidoscop-Anastigmat
Schneider-Kreuznach Xenar","101761
904064","1:2,9
1:2,9","7,5
5",,,,,,,
Beier,Bettax,Фотоаппарат,,,Германия,,77,,,,562,160х90х35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,80,"Плёнка типа 120 (61,5-мм рольфильм)",,"Ludwig-Drerden
Victar",141880,"1:6,3",10.5,Объектив заменен,,,,,,
Киев Вега,Арсенал,Фотоаппарат,,,СССР Киев,,78,,,110548,167,80х40х25,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1х1,4",,Фотокиноплёнка 16-мм,,Индустар М,,"3,5",2.3,"Фотоаппарат комплектовался мягким чехлом, красным и жёлтым светофильтрами в специальных рамках.",,,,,,
Киев 30,Арсенал,Фотоаппарат,1974,1983,СССР Киев,,79,,,8153978,179,85х45х25,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,"3,5","2,3",,,,,,,
Wirgin Deluxe. Mod. Wollensak ,RULEX,Фотоаппарат,1930,,Германия,,80,,,,906,160х125х50,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,9х12,95,Пластина,,"Erkos-Freital Doppel-Anastigmat ""SELAR""","64244
93400","1:4,5","13,5",,,,,,,
Isolette III Mark I,Agfa,Фотоаппарат,1954,,Германия,Мюнхен,81,,,,530,140х95х35,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х6,50,"Плёнка типа 120 (61,5-мм рольфильм)",Pronto,Agfa Apotar,278387,"1:4,5",8.5,"Isolette от Agfa имел инновационный дизайн, определивший развитие камер до 60-х годов 20-го века.",,,,,,
Москва 3,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1950,1951,СССР,"Красногорск, МО",82,,,5006542,672,125x80x55,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"6,5х9",75,Пластина,Момент-5,"Москва
Индустар-23","5010001
014454","1:4,5",11,,,,,,,
