"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см",Примечание,,,,,,
One-step close-up,Polaroid ,Фотоаппарат,1989,1990,СССР ,Москва,283,,,,644,120×95×145,"Однообъективный, горизонтальный",Жесткий,Пластмасса,Форматная,8x8,,фотоматериал «Polaroid 600 film»,,,,1:4,10.0,,,,,,,
Billy Comport,Agfa,Фотоаппарат,1934,1942,Германия,Мюнхен,284,,,,660,150x75x30,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,"Плёнка типа 120 (61,5-мм роль фильм)",Comport,Agfa Anastigmatic Apo tar,508865,"1:4,5",10.5,"Существовали две версии Billy Comport. Первая выпускалась с 1934 по 1942 год с объективом Apo tar, вторая с объективом Solana с 1948 по 1949 год.",,,,,,
Star Auto Focus,Kodak,Фотоаппарат,,,China,,285,,,x056,252,130x75x45,"Однообъективная, вертикальная",Жесткий,Пластик,Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,,,,,,,,,,,
Kinta 521/16,Zeiss Icon,Фотоаппарат,1948,1953,Германия,Дрезден,286,,,E 90906,567,135x90x30,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,40,Пленка ,Kilo,"
Novar Anastigmatic",,"1:4,5","7,5","На крышке изнутри выбито название рекомендуемой пленки  Zeiss Icon Film B2 6x9 2,25x3,25 in",,,,,,
A45,Max Dutschke ,Механическое реле времени,1930,1945,Германия,,287,,,,1976,200x190x140,,,"Дерево, сталь",,,,,,,,,,,,,,,,
Стерео для КИЕВ,Арсенал,Стереонасадка ,1956,,СССР,Киев,288,,,,222,105х67х55,,"Пластмасса, алюминий",,,,,,,,,,,,,,,,,
Стерео для Зоркий,"КМЗ, Красногорский завод им. С. А. Зверева",Стереонасадка ,1956,,СССР ,"Красногорск, МО",289,,,564992,253,135х110х60,,,"Алюминий с покрытием, стекло",,,,,,,,,,,,,,,,
Le Glyphoscope 2,Jules Richard,Фотоаппарат,1905,,Париж,,290,,,57088,400,135х75х60,"Двухобъективная, горизонтальная, стерео",Жесткий,Бакелит,Форматная,4х4,,Пластина,,,,,,,,,,,,
Ленинград 7,Завод Вибратор,Экспонометр,1983,,СССР,,291,,,24204,145,"80х55х2,6",,,Пластик,,,,,,,,,,,,,,,,
Стерео для Зоркий,Красногорский завод им. С. А. Зверева,Стереоскоп,1956,,,"Красногорск, МО",292,,,570011,517,125105х25,,Алюминий с покрытием,"Пластик, прозрачный пластик",,,,,,, ,,,,,,,,,
Стерео для Зоркий,Красногорский завод им. С. А. Зверева,"Приставка стереоскопическая, печатная рамка",1956,,СССР,"Красногорск, МО",293,,,5604915,516,,,,,,,,,,,,,,Приставка стереоскопическая,,,,,,
,Пылезащитные,Очки,,,,,294,,,,43,,,,,,,,,,,,,,,,,,,,
,Защитные,Очки,,,,,295,,,,61,,,,"Кожзаменитель, стекло, жесть",,,,,,,,,,,,,,,,
,Очки летчика,Очки,,,,,296,,,980261,99,,,,"Прорезиненная ткань, алюминий, стекло",,,,,,,,,,,,,,,,
,Очки летчика,Очки,,,,,297,,,,52,,,,"Кожзаменитель, ткань, стекло",,,,,,,,,,,,,,,,
,Откидывающиеся,Очки,,,,,298,,,12.4.013-75,35,,,,Пластик,,,,,,,,,,,,,,,,
,Очки летчика,Очки,,,,,299,,,,52,,,,"Кожзаменитель, ткань, стекло",,,,,,,,,,,,,,,,
Magicflash 110,ITT ,Фотоаппарат,1970,,США,,300,,,,188,165х60х30,"Телефото камера, горизонтальная",Жесткий,Пластик,Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,,,,,,,,,,,
Billy,Agfa,Фотоаппарат,1928,1930,Германия,Мюнхен,301,,,4S1321,515,160х75х35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,70,Пленка ,,Agfa Anastigmat Jgetar,,,8.8,"На лицевой панели оранжевый лейбл Agfa, внутри на крышке наклейка с рекламой пленки Agfa Film.",,,,,,
Maximar 207/7,Zeiss Ikon,Фотоаппарат,1927,1939,Германия,,302,,,,1063,155x110x50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,210,Пластина,Compur,Carl Zeiss Jena Tessar,23250,"1:4,5","13,5",,,,,,,
Ikonta 520,Zeiss Ikon,Фотоаппарат,1936,,Германия,,303,,,,468,120х80х40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,"4,5х6",40,Пленка,Compur-Rapid,Novar-Anastigmat,1320001,"1:3,5",7,,,,,,,
Billy Clack 51,Agfa,Фотоаппарат,1934,1940,Германия,Мюнхен,304,,,,475,135x75x30,"Однообъективная, вертикальная",С раздвижным мехом на двух стойках,"Алюминий, кожа (искусственная), сталь",Форматная,"4,5x6",45,"Плёнка типа 120 (61,5-мм рольфильм)",,Agfa Ugenar,,,8.0,Передняя панель украшена глянцевой черной эмалью с полосками хрома.,,,,,,
,Nagel Vollenda,Фотоаппарат,1931,,,,305,,,119241,296,115x75x35,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,3х4,20,Пленка,Original Gauthier,Schnelder-Kreuznach,439451,"1:4,5",5.0,,,,,,,
Чайка (электро-механическая),Шпионская камера,Фотоаппарат ,,,СССР,,306,,,,850,130х110х80,"Однообъективная, горизонтальная",Жесткий,Сталь,Малоформатная,"1,8х2,4",,Пленка,,Индустар-50-2,87029967,"1:3,5",5.0,Снабжен электро мотором ЭДН-145Р для дистанционной перемотки пленки,,,,,,
ФЭД,"з-д ФЭД, им. Фэликса Эдмундовича Дзержинского",Фотоаппарат,1934,1955,СССР,Харьков,307,,,542452,754,130х70х45,"Однообъективная, горизонтальная",Жесткий,Сталь,Малоформатный,"2,4х3,6",,,,Индустар-10,,"1:3,5",5.0,,,,,,,
С-112,БЕЛОМО,Устройство репродукционное малогабаритное,1970,1990,СССР,Минск,308,,,40170,543,160х80х35,,Жесткий,Сталь с покрытием,Малоформатный,"1,8х2,4",,Пленка,,,,,,"Шпионское устройство репродукционное малогабаритное, предназначено для репродуцирования фотографий, подписей, текстов и других плоских объектов.",,,,,,
Модель с двумя увеличительными линзами,,Стереоскоп,1837,,,,309,,,,218,310х140х75,,,"Алюминий, дерево",,,,,,,,,,На козырьке изображение с орлом,,,,,,
Модель с двумя увеличительными линзами,,Стереоскоп,1837,,,,310,,,,181,310х140х75,,,Дерево,,,,,,,,,,,,,,,,
ФЭД 3,"з-д ФЭД, им. Фэликса Эдмундовича Дзержинского",Фотоаппарат,1961,1979,СССР,Харьков,311,,,2094322,729,140х95х70,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Малоформатная,"2,4х3,6",,,,Индустар 26 М,1556522,"1:2,8",5.2,,,,,,,
,Полевой,Бинокль,,,,,312,,,,496,110х90х50,,,Латунь,,,,,,,,,,На крышке футляра расположен компас,,,,,,
Super-Ikonta 531/2 ,Zeiss Ikon,Фотоаппарат,1950,1955,Германия,,313,,,M53810,895,160х90х40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,Пленка,Compur,И-24,156985,"1:3,5","10,5",,,,,,,
PERESCOP,Panian schlenkrich,Фотоаппарат,,,,,314,,,,552,150х110х25,"Однообъективная, вертикальная",С раздвижным мехом,"Красное дерево, алюминий, кожа",Форматная,9х12,120,Пластина,,PERESCOP,,,,,,,,,,
,Welta,Фотоаппарат,,,,,315,,,,941,160x115x55,"Однообъективная, вертикальная",С раздвижным мехом,"Красное дерево, алюминий, кожа",Форматная,9х12,100,Пластина,Vario,Doppel Anastigmat,,"1:6,8","13,5",,,,,,,
Bob 510,Zeiss Ikon,Фотоаппарат,1934,1941,Германия,,316,,,C49545,408,115x85x40,"Однообъективная, вертикальная",,"Алюминий, кожа (искусственная), сталь",Малоформатная,4x6,40,Пленка,Zeiss Ikon,Nettar-Anastigmat,,"1:6,3","7,5",,,,,,,
Avus,Voigtländer,Фотоаппарат,1919,1934,Германия,,317,,,,995,150х115х50,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,140,Пластина,Compur,Doppel Anastigmat,"218857
258646","1:4,5","13,5",,,,,,,
Folding Autographic Brownie №2 ,Kodak,Фотоаппарат,1915,1926,США,,318,,,,707,200x90x40,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,80,Пленка,Kodak Ball Berning Shutter,,,,,,,,,,,
Folding Autographic Brownie №3 ,Kodak,Фотоаппарат,1916,1926,США,,319,,,,805,240x110x45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,9х12,100,Пленка,Eastman Kodak,,21826,,,,,,,,,
Горизонт,Красногорский механический завод,Фотоаппарат,1967,1973,СССР,Красногорск,320,,,7002312,934,140х100х65,"Однообъективная, горизонтальная, панорамная",Жесткий,"Алюминий, пластик",Малоформатная,"2,4х5,8",,Пленка,,MC ОФ-28П,1427,"1:2,8","2,8",,,,,,,
Lubitel 166B,ЛОМО ,Фотоаппарат,1976,1981,СССР,Ленинград,321,,,,590,12075x100,"Двухобъективная, вертикальная",Бокс камера,,Форматная,6х6,,Пленка,,Т-22,,"1:4,5","7,5",,,,,,,
A120 Film,Kodak,Фотоаппарат,,,США,,322,,,,626,170х80х45,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,60,"Плёнка типа 120 (61,5-мм рольфильм)",Eastman Kodak,,29060,,,,,,,,,
Plattenkamera,Certo,Фотоаппарат,1930,,Германия,,323,,,,648,150x115x50,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, кожа, сталь",Форматная,9х12,100,Пластина ,Vario,Certo-Anastigmat Certar,,"1:6,3",10.5,,,,,,,
Box-Tengor 56/2,Zeiss Ikon,Фотоаппарат,1948,1956,Германия,,324,,,,604,100х70х110,"Однообъективная, вертикальная",Бокс камера,"Алюминий, кожа",Форматная,6х9,,Пленка,,Goerz Frontar-Achromat,,1:9,,,,,,,,
Heag VII ,ERNEMAN,Фотоаппарат,1924,1926,Германия,,325,,,,1108,155х120х75,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, сталь, кожа",Форматная,9х12,120,Пластина + пленка,"Cronos ""B""",Anastigmat Sytar,,"1:4,5",13.5,,,,,,,
Фэд Стерео,"з-д ФЭД, им. Фэликса Эдмундовича Дзержинского",Фотоаппарат,1988,1996,СССР,,326,,,934528,693,175х75х55,"Двухобъективная, горизонтальная",Жесткий,Пластмасса сталь,Форматная,,,Пленка,,Индустар 81,,"1:2,8",3.8,,,,,,,
Brownie Pliant Six-20 ,Kodak,Фотоаппарат,1939,,США,,327,,,,437,160х80х35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа",Форматная,6х9,75,Пленка,KODEX №,Kodar,,"1:7,9",11.0,,,,,,,
Gabri,I.C.A.F.,Фотоаппарат,1938,,Италия,Милан,328,,,,244,80х80х65,"Однообъективная, вертикальная",Бокс камера,"Сталь, кожа",Форматная,4х6,,Пленка,,,,1:11,7.5,,,,,,,
Vollenda 68,Nagel Vollenda,Фотоаппарат,,,,,329,,,129893,482,145х85х35,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа",Форматная,6х9,70,Пленка,Original Gauthier,Radionar,,"1:6,3",10.5,,,,,,,
Смена 8М,ЛОМО,Фотоаппарат,1970,1995,СССР,Ленинград,330,,,90578404,382,110х80х60,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Триплет «Т-43» ,,1:4,16,,,,,,,
SK-666,Skina,Фотоаппарат,,,,,331,,,,210,125х75х45,"Однообъективная, горизонтальная",Жесткий,Пластик,Малоформатная,"2,4x3,6",,Пленка,,Триплет «Т-43» ,,1:5,16.0,,,,,,,
Смена Символ,ЛОМО,Фотоаппарат,1971,1991,СССР,Ленинград,332,,,85378095,496,120х80х60,"Однообъективная, горизонтальная",Жесткий,Пластик,Малоформатная,"2,4x3,6",,Пленка,,,,,,,,,,,,
,,Светильник,,,,,333,,,,429,190х75х80,,,"Сталь, стекло, дерево",,,,,,,,,,,,,,,,
,,Стереоскоп,1900,,США,,334,,,,312,315х130х80,,,"Жесть, дерево",,,,,,,,,,,,,,,,
Ленинград,,Стереоскоп,1964,,СССР,,335,,,,149,110х85х75,,,Пластмасса,,,,,,,,,,,,,,,,
,Защитные ,Очки,,,СССР,,336,,,,51,,,,"Пластмасса, кожа, ткани",,,,,,,,,,,,,,,,
Фотоснайпер 12,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,,,СССР,,337,,,83093774,3165,570х230х135,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик, сталь",Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Таир - 3С,838186,"1:4,5",30,,,,,,,
Смена 8М,ЛОМО,Фотоаппарат,1970,1995,СССР,Ленинград,338,,,91525334,382,110х80х60,"Однообъективная, горизонтальная",,"Алюминий, пластик",Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Триплет «Т-43» ,,1:4,16,,,,,,,
Ideal 250/7,Zeiss Ikon ,Фотоаппарат,1927,1938,,,339,,,,1109,160х120х55,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,9x12,120,Пластина,Compur,Carl Zeiss Jena Tessar,1008415,"1:4,5",13.5,,,,,,,
,Откидывающиеся,Очки,,,,,340,,,12.4.013-75,63,,,,"Пластмасса, ткань",,,,,,,,,,,,,,,,
,Защитные,Очки,,,,,341,,,,60,,,,"Сталь, стекло, ткань",,,,,,,,,,,,,,,,
Киев 303,Арсенал,Фотоаппарат,1990,,СССР,Киев,391,,,9160970,150,28×46×86,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,,"2,3",,,,,,,
Киев 30М,Арсенал,Фотоаппарат,1975,1987,СССР,Киев,392,,,8930555,180,28×46×87,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,,"2,3",,,,,,,
Индустар - 51,,Футляр для объектива,,,,,393,,,,,,,,,,,,,,,,,,,,,,,,
"Шпионский ""Сигареты праздничные""",Арсенал,Фотоаппарат,,,СССР,Киев,394,,,,209,85х55х25,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,,"2,3",залить на сайт,,,,,,
ФКП,,Фотоаппарат,,,СССР,,395,,,,,390х360х185,"Однообъективная, вертикальная",С раздвижным мехом,Дерево,Форматная,24х24,,Пластина,,Индустар 37,,,,,,,,,,
Фонограф,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,
Фонограф труба,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,
Киев 303,Арсенал,Фотоаппарат,1990,,СССР,Киев,401,,,90701118,150,28×46×86,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,,"2,3",,,,,,,
Synchro Box 600,Agfa,Фотоаппарат,1951,1957,Германия,Мюнхен,402,,,,420,115x70x100,"Однообъективная, вертикальная",Бокс камера,"Алюминий, жесть",Форматная,6х9,,"Плёнка типа 120 (61,5-мм рольфильм)","Простой, типа ""Поворотный затвор""","Простой, типа ""Мениск""",,,,"Рекомендуемые фотоматериалы Agfa Film B2, название ""Синхро"" соответствует механизму синхронизации затвора и вспышки.",,,,,,
,ЗИМ Завод ИМ Масленикова,Автоспуск,,,СССР,,403,,,,42,"5х2,5х1",,,"Аллюминий, сталь",,,,,,,,,,,,,,,,
Haka Autoknips II,Klapprott@Lampe,Автоспуск,,,Германия,Гамбург,404,,,,42,"5х2,5х1",,,"Алюминий, сталь",,,,,,,,,,Автоспуск находится в заводском металлическом футляре.,,,,,,
Haka Autoknips I,Klapprott@Lampe,Автоспуск,,,Германия,Гамбург,405,,,,39,"3,8х2х1",,,"Алюминий, сталь",,,,,,,,,,Автоспуск находится в заводском металлическом футляре.,,,,,,
Korelle 6x9,Korelle Werk,Фотоаппарат,1935,,,,406,,,,,150х80х30,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,65,Пластина,Decker,Radionar,2996606,"1:4,5",10.5,,,,,,,
,Полевой,Бинокль,,,,,407,,,,401,115х80х50,,,"Латунь, кожа",,,,,,,,,,,,,,,,
,Солнцезащитные,Очки,,,,,408,,,,,,,,"Пластик, ткань",,,,,,,,,,,,,,,,
ЗП 1 - 80,Мотоциклетные,Очки ,,,,,409,,,124013-85,,,,,,,,,,,,,,,,,,,,,
Защитные ОЗЗ 4,Суксунский оптикомеханический завод,Очки,,,СССР,Суксун,410,,,6516-53,,,,,"Кожзаменитель, стекло, жесть",,,,,,,,,,,,,,,,
Модель с двумя увеличительными линзами,,Стереоскоп,1837,,,,411,,,,218,310х140х75,,,"Алюминий, дерево",,,,,,,,,,На козырьке изображение с орлом,,,,,,
Эрмитаж,Электронмаш,Диапозитив стерео,,,СССР,Ленинград,412,,,,,,,,,,,,,,,,,,,,,,,,
Петродворец,Электронмаш,Диапозитив стерео,,,СССР,Ленинград,413,,,,,,,,,,,,,,,,,,,,,,,,
СКФ - 1,Фотоприбор,Стереокомплект фотографический,1992,,СССР,Черкассы,418,,,,625,,,,"Алюминий, пластик, сталь",,,,,,,,,,,,,,,,
,Zeiss Ikon,Муляж фотоаппарата,,,Германия,,419,,,,,265х220х150,"Однообъективная, вертикальная",С раздвижным мехом,"Дерево, латунь",Форматный,12х18,300,Пластина,,,,,,Муляж фотоаппарата на деревянном штативе служил для украшения интерьера,,,,,,
ФЭД 3,"з-д ФЭД, им. Фэликса Эдмундовича Дзержинского",Фотоаппарат,1961,1979,СССР,Харьков,420,,,240026,729,140х95х70,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Форматная,,,Фотокиноплёнка ,,Индустар 61 л/д,8970215,"1:2,8",5.3,,,,,,,
Киев Вега,Арсенал,Фотоаппарат,1960,1962,СССР,Киев,421,,,,159,83×43×24,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1х1,4",,Фотокиноплёнка 16-мм,,Индустар М,,"1:3,5","2,3","Фотоаппарат комплектовался мягким чехлом, красным и жёлтым светофильтрами в специальных рамках.",,,,,,
Киев Вега ,Арсенал,Фотоаппарат,1963,1962,СССР,Киев,422,,,125798,159,83×43×24,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1х1,4",,Фотокиноплёнка 16-мм,,Индустар М,,"1:3,5","2,3","Фотоаппарат комплектовался мягким чехлом, красным и жёлтым светофильтрами в специальных рамках.",,,,,,
Киев 303,Арсенал,Фотоаппарат,1990,,СССР,Киев,423,,,9160970,150,28×46×86,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,"1:3,5","2,3",,,,,,,
Киев Вега 2,Арсенал,Фотоаппарат,1961,1964,СССР,Киев,424,,,125798,159,83×43×24,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1х1,4",,Фотокиноплёнка 16-мм,,Индустар М,,"1:3,5","2,3",На внешнем кожухе находится калькулятор - табличный экспонометр для приблизительного определения выдержки и диафрагмы по погодным условиям,,,,,,
Киев 30,Арсенал,Фотоаппарат,1975,1987,СССР,Киев,425,,,7677751,180,28×46×87,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,"1:3,5","2,3",,,,,,,
Киев Вега,Арсенал,Фотоаппарат,1961,1962,СССР,Киев,426,,,39518,159,83×43×24,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1х1,4",,Фотокиноплёнка 16-мм,,Индустар М,,"1:3,5","2,3","Фотоаппарат комплектовался мягким чехлом, красным и жёлтым светофильтрами в специальных рамках.",,,,,,
,,Подзорная труба,,,,,427,,,,286,510х35х20,,,Медь,,,,,,,,,,,,,,,,
,,Подзорная труба,,,,,428,,,,333,480х40х20,,,Медь,,,,,,,,,,,,,,,,
Киев Вега,Арсенал,Фотоаппарат,1960,1962,СССР,Киев,429,,,,159,83×43×24,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1х1,4",,Фотокиноплёнка 16-мм,,Индустар М,,"1:3,5","2,3","Фотоаппарат комплектовался мягким чехлом, красным и жёлтым светофильтрами в специальных рамках.",,,,,,
Киев 30,Арсенал,Фотоаппарат,1975,1987,СССР,Киев,430,,,7407129,180,28×46×87,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,"1:3,5","2,3",,,,,,,
Киев Вега,Арсенал,Фотоаппарат,1960,1962,СССР,Киев,431,,,,159,83×43×24,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1х1,4",,Фотокиноплёнка 16-мм,,Индустар М,,"1:3,5","2,3","Фотоаппарат комплектовался мягким чехлом, красным и жёлтым светофильтрами в специальных рамках.",,,,,,
Киев 30,Арсенал,Фотоаппарат,1975,1987,СССР,Киев,432,,,7677751,180,28×46×87,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,"1:3,5","2,3",,,,,,,
Киев 303,Арсенал,Фотоаппарат,1990,,СССР,Киев,433,,,9160970,150,28×46×86,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,"1:3,5","2,3",,,,,,,
,ЛОМО,Нож для кинопленки,,,СССР,,434,,,,50,2х8 ,,,Пластик,,,,,,,,,,,,,,,,
Киев Вега,Арсенал,Фотоаппарат,1960,1962,СССР,Киев,435,,,,159,83×43×24,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1х1,4",,Фотокиноплёнка 16-мм,,Индустар М,,"1:3,5","2,3","Фотоаппарат комплектовался мягким чехлом, красным и жёлтым светофильтрами в специальных рамках.",,,,,,
Киев Вега 2,Арсенал,Фотоаппарат,1961,1964,СССР,Киев,436,,,125798,159,83×43×24,"Однообъективная, горизонтальная",Жесткий,Алюминий,Микроформатная,"1х1,4",,Фотокиноплёнка 16-мм,,Индустар М,,"1:3,5","2,3",На внешнем кожухе находится калькулятор - табличный экспонометр для приблизительного определения выдержки и диафрагмы по погодным условиям,,,,,,
Киев 30,Арсенал,Фотоаппарат,1975,1987,СССР,Киев,437,,,7677751,180,28×46×87,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,"1:3,5","2,3",,,,,,,
Stereo Realist,David White,Фотоаппарат,1947,1971,США,,438,,,,984,170х75х50,"Трехобъективный, горизонтальный",Жесткий,"Алюминий, сталь, кожа",Малоформатный,"2,2х2,5",,Пленка,,David White Anastigmat,,"1:3,5",3.5,,,,,,,
Vigilant Six16,Kodak,Фотоаппарат,1939,1948,Германия,,439,,,6632X,659,160x90x40,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, сталь, кожа",Среднеформатный,6х9,70,Пленка,,Anastigmat,,"1:6,3",10.5,,,,,,,
Super Dllina I,Cetro,Фотоаппарат,1951,,Германия,,440,,,,480,120х80х30,"Однообъективный, горизонтальный",С раздвижным мехом,"Алюминий, сталь, кожа",Малоформатный,"2,5x3",20,Пленка,Compur-Rapid,Trioplan,1079632,"1:2,9",5.0,,,,,,,
Taxo 122/3,Super Nettel,Фотоаппарат,1927,1931,Германия,,441,,,,492,120x80x40,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, сталь, кожа",Форматная,6x9,100,Пластина,DERVAL,Novar Anastigmat,832850,"1:6,3",10.5,"в витрине под этим номером фотоаппарат зеис икон , перенумеровать описать сфоткать витрина 6",,,,,,
Школьник,Минский механический з-д им. С.И.Вавилова,Фотоаппарат,1962,1969,СССР,Минск,442,,,,242,125х95х80,"Однообъективный, горизонтальный",Жесткий,Пластик,Форматная,6х6,,Пленка,,Триплет,,1:8,7.5,,,,,,,
Clack,Agfa,Фотоаппарат,1954,1965,Германия,,443,,,,466,110x95x90,"Однообъективный, горизонтальный",Жесткий,Алюминий с покрытием,Форматная,6х9,,Пленка,,,,,,,,,,,,
Brownie Flash II,Kodak,Фотоаппарат,1658,1960,Великобритания,Лондон,444,,,,502,115x100x75,"Однообъективный, вертикальный",Бокс камера,"Алюминий, жесть",Форматная,6х9,,Пленка,,,,,,,,,,,,
Beier Beirax,Kamera-fabrik Woldemar Beier Freital,Фотоаппарат,1934,,Германия,,445,,,,535,150х70х35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, сталь, кожа",Форматная,6х9,65,Пленка,,Victar,480527,"1:6,3",10.5,,,,,,,
Miroflex,Ziess Ikon,Фотоаппарат,1926,,Германия,,446,,,P 97645,2106,165x125x165,"Однообъективный, горизонтальный",С раздвижным мехом,"Алюминий, сталь, кожа",Форматная,6х9,40,Пластина,,Tessar,1036274,"1:3,5",13.5,,,,,,,
Perfekta,Welta,Фотоаппарат,1934,,Германия,,447,,,,976,160x65x55x75,"Двухобъективный, вертикальный",С раздвижным мехом,"Алюминий, сталь, кожа",Форматная,НЕ открывается,,Пленка,,Trioplan,"2888631
636122
634522","1:3,5",7.5,,,,,,,
Комсомолец,ЛОМО,Фотоаппарат,1946,1951,СССР,Ленинград,448,306743,,,533,120х75х90,"Двухобъективный, вертикальный",Бокс камера,"Алюминий, эбонит",Форматная,6х6,,Пленка,,Т-21,48107440,"1:6,3",8.0,,,,,,,
Heag IV,Ernemann ,Фотоаппарат,1925,,Германия,,449,,,1267193,805,150х110х40,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, эбонит",Форматная,9х12,1210,Пластина,Cronos >Д<,Doppel-Anastigmat,140771,"1:6,8",13.5,"под этим номером другой фотик, перенумеровать описать",,,,,,
Wuncshe Knox,Knox,Фотоаппарат,1906,,Германия,Берлин,450,,,18750,526,160x130x45,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, медь",Форматная,9х12,150,Пластина,,Doppel-Anastigmat,17910,,12.0,,,,,,,
Leonar,KAMERAWERK,Фотоаппарат,1910,,Германия,Гамбург,451,,,,693,155x120x50,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, сталь",Форматная,9х12,140,Пластина,LEONAR,Periscopischer Anastigmat,,"1:1,1",14,,,,,,,
