"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см"
Ica Frona 110,Zeiss Ikon,Фотоаппарат,,,Германия,,658,,,L 11810,526,120x80x35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,6x9,60,Пластина,Telma,,,,
Model B-4,Kodak,Фотоаппарат,1912,1915,США,,659,,,,783,190x110x45,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, сталь",Среднеформатная,9х12,90,Плёнка,Rapid,,,,
Union,Zeiss Ikon,Фотоаппарат,,,Германия,,660,,,70,1150,180x130x70,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, медь",Среднеформатная,9х12,170,Пластина,,Carl Zeiss Jena,44453,,
Стереоскоп,View master,Другое,1942,1951,США,,661,,,,200,90x100x80,,,Пластмасса,,,,,,,,,
Ленинград ,Оптэк,Экспонометр,1947,,СССР,,662,,,,30,60х40х20,,,Пластмасса,,,,,,,,,
Фото-Фонарь,Завод Фотопринадлежностей,Другое,,,СССР,Москва,663,,,,570,155х100х110,,,"Алюминий, пластмасса",,,,,,,,,
Кинокамера Полуавтомат 16,КМЗ,Другое,,,СССР,Красногорск,664,,,6803553,2346,190х160х60,"Однообъективный, вертикальный",Жесткий,"Сталь, бакелит",,"7,5х10",,Кассета,,Вега-9,684954,"1:1,9",
Набор 3D картинок для стереоскопа,View-Master ,Другое,,,США,,665,,,,439,125х9580,,,Бумага,,,,,,,,,
Vintage ,Voigtländer,Фотоаппарат,,,Германия,Мюнхен,666,,,,810,155х120х50,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, сталь",Среднеформатная,9х12,110,Пластина,Vario,Doppel Anastigmat,,"1:6,3",13.5
Billy - Record,Agfa,Фотоаппарат,,,Германия,,667,,,,555,155х80х35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Среднеформатная,6x9,60,Плёнка,,Anastigmat-Jgestar,,,7.7
Фото-Фонарь,,Другое,,,,,668,,,,357,145х90х80,,,Алюминий,,,,,,,,,
Кинокамера Киев 16С-3,Завода Точприбор,Другое,1966,1971,СССР,Киев,669,,,1124-67,6200,145х90х50,"Двухобъективная, вертикальная",Жесткий,"Сталь, пластмасса, кожа",,,,Кассета,,Индустар-50,6604100,"1:3,5
1:2,8","5,0
2,0"
Ormaf Studio Master 541,Polaroid,Фотоаппарат,1997,,Италия,,670,,,3110,3718,170х220х160,"Пятиобъективный, вертикальный",Жесткий,Пластмасса,Среднеформатная,"8х11, 4х5 ",,Кассета,,,,"1:1,2",
CU-5 land camera 3,Polaroid,Фотоаппарат,1964,,Нидерланды,,671,,,EH9081A,2816,170х110х220,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластмасса",Среднеформатная,8х11,,Кассета,,Tominon,116662,"1:4,5",7.5
Lloyd 535,Ica,Фотоаппарат,1910,1912,Германия,Дрезден,672,,,,2256,210х115х45,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, сталь",Среднеформатная,9х12,90,Пластина,Rapid,Helios,216210,"1:8,0",13.0
Кинокамера Спорт-4,ЛОМО,Другое,1971,1973,СССР,,673,,,7307628,2820,120х95х55,"Однообъективный, вертикальный",Жесткий,"Сталь, алюминий",,,,Плёнка,,Т-51,,"1:2,8",10.0
Кинокамера Лада,ЛОМО,Другое,1963,1975,СССР,,674,,,,7050,150х100х60,"Однообъективный, вертикальный",Жесткий,"Сталь, кожа",,,,Плёнка,,ПФ-2,,"1:7,9",3.7
Berlin,C. P. Goerz,Фотоаппарат,,,Германия,Берлин,675,,,,4660,210х230х85,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, медь",Форматный,13х18,250,Пластина,,Doppel Anastigmat,102394,,
Model 800,Keystone,Фотоаппарат,1975,,США,,676,,,,1856,180х130х135,"Однообъективная, горизонтальная",Жесткий,Пластмасса,Среднеформатная,8х11,,Кассета,,,,,
Фотопленка Изопанхром -65,Шосткинский химический завод,Другое,,,УССР,Шостка,677,,,,,,,,,,,,,,,,,
,,Резак для фотобумаги,,,СССР,,678,,,,190,,,,"металл, пластмасс",,,,,,,,,
,,Резак для фотобумаги,,,СССР,,679,,,,335,,,,"металл, пластмасс",,,,,,,,,
"Бромо-желатинные пластины ""Электра Экспрессъ""","Фабрично торговое товарищество ""Р.Кёлеръ и Ко""",Другое,1872,,Российская Империя,,680,,Роберт Кёлер,2158,456,130х96х28,,,,,,,,,,,,
Театральный бинокль,,Бинокль,,,Франция,Париж,681,,,,263,100х50х30,,,"Латунь, перламутр",,,,,,,,,
Штатив фотографический ,,Штатив,,,,,733,,,,447,,,,"Сталь, латунь",,,,,,,,,
Super Sport Dolly,Certo,Фотоаппарат,1937,,Германия,,734,,,,715,135х80х34,"Однообъективная, вертикальная",С раздвижным мехом,"Кожа, сталь",Форматная,6х6,45,Пластина,Compur,R.Decbel-Munchen,656292,"1:2,9",7.5
Vollenda, Nagel,Фотоаппарат,1925,,Германия,,735,,,,363,102х64х25,"однообъективная, горизонтальная",С раздвижным мехом,"кожа, сталь",форматная,,35,пленка,Compur,Carl Zeiss Jena,1271472,"1:3,5",5.0
Bergheil,Voigtländer,Фотоаппарат,1923,1930,Германия,,736,,,,833,128х95х40,"Однообъективная, вертикальная",С раздвижным мехом,"кожа, сталь",Форматная,"4,5х6",130,Пластина,Compur,Voigtlander Braunschweig Heliar,392854,"1:4,5",10.5
